datetime,light,twilight,interp,excluded
2018-06-13T10:12:31.000Z,5.678,0,FALSE,FALSE
2018-06-13T10:17:31.000Z,5.678,0,FALSE,FALSE
2018-06-13T10:22:31.000Z,5.678,0,FALSE,FALSE
2018-06-13T10:27:31.000Z,5.678,0,FALSE,FALSE
2018-06-13T10:32:31.000Z,5.678,0,FALSE,FALSE
2018-06-13T10:37:31.000Z,5.678,0,FALSE,FALSE
2018-06-13T10:42:31.000Z,5.678,0,FALSE,FALSE
2018-06-13T10:47:31.000Z,5.678,0,FALSE,FALSE
2018-06-13T10:52:31.000Z,5.678,0,FALSE,FALSE
2018-06-13T10:57:31.000Z,5.678,0,FALSE,FALSE
2018-06-13T11:02:31.000Z,5.678,0,FALSE,FALSE
2018-06-13T11:07:31.000Z,5.678,0,FALSE,FALSE
2018-06-13T11:12:31.000Z,6.813,0,FALSE,FALSE
2018-06-13T11:17:31.000Z,6.813,0,FALSE,FALSE
2018-06-13T11:22:31.000Z,7.949,0,FALSE,FALSE
2018-06-13T11:27:31.000Z,7.949,0,FALSE,FALSE
2018-06-13T11:32:31.000Z,9.084,0,FALSE,FALSE
2018-06-13T11:37:31.000Z,10.22,0,FALSE,FALSE
2018-06-13T11:42:31.000Z,13.627,0,FALSE,FALSE
2018-06-13T11:47:22.000Z,1.499999989,2,TRUE,FALSE
2018-06-13T11:47:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T11:52:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T11:57:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T12:02:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T12:07:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T12:12:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T12:17:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T12:22:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T12:27:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T12:32:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T12:37:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T12:42:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T12:47:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T12:52:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T12:57:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T13:02:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T13:07:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T13:12:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T13:17:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T13:22:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T13:27:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T13:32:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T13:37:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T13:42:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T13:47:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T13:52:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T13:57:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T14:02:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T14:07:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T14:12:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T14:17:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T14:22:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T14:27:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T14:32:31.000Z,1.136,0,FALSE,FALSE
2018-06-13T14:37:31.000Z,1.136,0,FALSE,FALSE
